A分支-x86_64（二进制包名）,A分支-x86_64（二进制对应源码包名）,A分支-aarch64（二进制包名）,A分支-aarch64（二进制对应源码包名）,A分支-loongarch64（二进制包名）,A分支-loongarch64（二进制对应源码包名）,E分支-x86_64（二进制包名）,E分支-x86_64（二进制对应源码包名）,E分支-aarch64（二进制包名）,E分支-aarch64（二进制对应源码包名）,,,,,,,,,,,,,,,
PackageKit-gtk3-module,PackageKit,SDL,SDL,SDL,SDL,UnionTech-release,UnionTech-release,UnionTech-repos-GM,UnionTech-repos-GM,,,,,,,,,,,,,,,
SDL,SDL,SDL-devel,SDL,SDL-devel,SDL,UnionTech-repos,UnionTech-repos,UnionTech-repos-openstack,UnionTech-repos-openstack,,,,,,,,,,,,,,,
SDL-devel,SDL,SDL2,SDL2,SDL2,SDL2,UnionTech-repos-GM,UnionTech-repos-GM,UnionTech-rpm-config,UnionTech-rpm-config,,,,,,,,,,,,,,,
SDL2,SDL2,UnionTech-backgrounds,UnionTech-logos,UnionTech-backgrounds,UnionTech-logos,UnionTech-repos-openstack,UnionTech-repos-openstack,UnionTech-rpm-installer,UnionTech-rpm-installer,,,,,,,,,,,,,,,
UnionTech-backgrounds,UnionTech-logos,UnionTech-indexhtml,UnionTech-indexhtml,UnionTech-indexhtml,UnionTech-indexhtml,UnionTech-rpm-config,UnionTech-rpm-config,abattis-cantarell-fonts,abattis-cantarell-fonts,,,,,,,,,,,,,,,
UnionTech-indexhtml,UnionTech-indexhtml,UnionTech-logos,UnionTech-logos,UnionTech-logos,UnionTech-logos,UnionTech-rpm-installer,UnionTech-rpm-installer,abrt,abrt,,,,,,,,,,,,,,,
UnionTech-logos,UnionTech-logos,UnionTech-logos-httpd,UnionTech-logos,UnionTech-logos-httpd,UnionTech-logos,abattis-cantarell-fonts,abattis-cantarell-fonts,abrt-addon-ccpp,abrt,,,,,,,,,,,,,,,
UnionTech-logos-httpd,UnionTech-logos,UnionTech-logos-ipa,UnionTech-logos,UnionTech-logos-ipa,UnionTech-logos,abrt,abrt,abrt-addon-kerneloops,abrt,,,,,,,,,,,,,,,
UnionTech-logos-ipa,UnionTech-logos,UnionTech-lsb,UnionTech-lsb,UnionTech-lsb,UnionTech-lsb,abrt-addon-ccpp,abrt,abrt-addon-pstoreoops,abrt,,,,,,,,,,,,,,,
UnionTech-lsb,UnionTech-lsb,UnionTech-lsb-core,UnionTech-lsb,UnionTech-lsb-core,UnionTech-lsb,abrt-addon-kerneloops,abrt,abrt-addon-vmcore,abrt,,,,,,,,,,,,,,,
UnionTech-lsb-core,UnionTech-lsb,UnionTech-lsb-cxx,UnionTech-lsb,UnionTech-lsb-cxx,UnionTech-lsb,abrt-addon-pstoreoops,abrt,abrt-addon-xorg,abrt,,,,,,,,,,,,,,,
UnionTech-lsb-cxx,UnionTech-lsb,UnionTech-lsb-desktop,UnionTech-lsb,UnionTech-lsb-desktop,UnionTech-lsb,abrt-addon-vmcore,abrt,abrt-cli,abrt,,,,,,,,,,,,,,,
UnionTech-lsb-desktop,UnionTech-lsb,UnionTech-lsb-languages,UnionTech-lsb,UnionTech-lsb-languages,UnionTech-lsb,abrt-addon-xorg,abrt,abrt-dbus,abrt,,,,,,,,,,,,,,,
UnionTech-lsb-languages,UnionTech-lsb,UnionTech-lsb-printing,UnionTech-lsb,UnionTech-lsb-printing,UnionTech-lsb,abrt-cli,abrt,abrt-help,abrt,,,,,,,,,,,,,,,
UnionTech-lsb-printing,UnionTech-lsb,UnionTech-lsb-submod-multimedia,UnionTech-lsb,UnionTech-lsb-submod-multimedia,UnionTech-lsb,abrt-dbus,abrt,abrt-libs,abrt,,,,,,,,,,,,,,,
UnionTech-lsb-submod-multimedia,UnionTech-lsb,UnionTech-lsb-submod-security,UnionTech-lsb,UnionTech-lsb-submod-security,UnionTech-lsb,abrt-help,abrt,abrt-tui,abrt,,,,,,,,,,,,,,,
UnionTech-lsb-submod-security,UnionTech-lsb,UnionTech-manual,UnionTech-manual,UnionTech-manual,UnionTech-manual,abrt-libs,abrt,abseil-cpp,abseil-cpp,,,,,,,,,,,,,,,
UnionTech-manual,UnionTech-manual,UnionTech-release,UnionTech-release,UnionTech-release,UnionTech-release,abrt-tui,abrt,accountsservice,accountsservice,,,,,,,,,,,,,,,
UnionTech-release,UnionTech-release,UnionTech-release-eula,UnionTech-release,UnionTech-release-eula,UnionTech-release,abseil-cpp,abseil-cpp,acl,acl,,,,,,,,,,,,,,,
UnionTech-release-eula,UnionTech-release,UnionTech-repos-GM,UnionTech-repos-GM,UnionTech-repos-GM,UnionTech-repos-GM,accountsservice,accountsservice,activemq,activemq,,,,,,,,,,,,,,,
UnionTech-repos-GM,UnionTech-repos-GM,UnionTech-repos-openstack,UnionTech-repos-openstack,UnionTech-repos-openstack,UnionTech-repos-openstack,acl,acl,adcli,adcli,,,,,,,,,,,,,,,
UnionTech-repos-openstack,UnionTech-repos-openstack,UnionTech-rpm-config,UnionTech-rpm-config,UnionTech-rpm-config,UnionTech-rpm-config,activemq,activemq,adobe-mappings-cmap,adobe-mappings-cmap,,,,,,,,,,,,,,,
UnionTech-rpm-config,UnionTech-rpm-config,UnionTech-rpm-installer,UnionTech-rpm-installer,UnionTech-rpm-installer,UnionTech-rpm-installer,adcli,adcli,adobe-mappings-cmap-lang,adobe-mappings-cmap,,,,,,,,,,,,,,,
UnionTech-rpm-installer,UnionTech-rpm-installer,Xaw3d,Xaw3d,Xaw3d,Xaw3d,adobe-mappings-cmap,adobe-mappings-cmap,adobe-mappings-pdf,adobe-mappings-pdf,,,,,,,,,,,,,,,
Xaw3d,Xaw3d,aardvark-dns,aardvark-dns,aardvark-dns,aardvark-dns,adobe-mappings-cmap-lang,adobe-mappings-cmap,adwaita-icon-theme,adwaita-icon-theme,,,,,,,,,,,,,,,
aardvark-dns,aardvark-dns,abattis-cantarell-fonts,abattis-cantarell-fonts,abattis-cantarell-fonts,abattis-cantarell-fonts,adobe-mappings-pdf,adobe-mappings-pdf,afflib,afflib,,,,,,,,,,,,,,,
abattis-cantarell-fonts,abattis-cantarell-fonts,abrt,abrt,abrt,abrt,adwaita-icon-theme,adwaita-icon-theme,aide,aide,,,,,,,,,,,,,,,
abrt,abrt,abrt-addon-ccpp,abrt,abrt-addon-ccpp,abrt,afflib,afflib,alsa-lib,alsa-lib,,,,,,,,,,,,,,,
abrt-addon-ccpp,abrt,abrt-addon-coredump-helper,abrt,abrt-addon-coredump-helper,abrt,aide,aide,alsa-plugins,alsa-plugins,,,,,,,,,,,,,,,
abrt-addon-coredump-helper,abrt,abrt-addon-kerneloops,abrt,abrt-addon-kerneloops,abrt,alsa-lib,alsa-lib,alsa-topology,alsa-lib,,,,,,,,,,,,,,,
abrt-addon-kerneloops,abrt,abrt-addon-pstoreoops,abrt,abrt-addon-pstoreoops,abrt,alsa-plugins,alsa-plugins,alsa-ucm,alsa-lib,,,,,,,,,,,,,,,
abrt-addon-pstoreoops,abrt,abrt-addon-vmcore,abrt,abrt-addon-vmcore,abrt,alsa-topology,alsa-lib,alsa-utils,alsa-utils,,,,,,,,,,,,,,,
abrt-addon-vmcore,abrt,abrt-addon-xorg,abrt,abrt-addon-xorg,abrt,alsa-ucm,alsa-lib,amanda,amanda,,,,,,,,,,,,,,,
abrt-addon-xorg,abrt,abrt-cli,abrt,abrt-cli,abrt,alsa-utils,alsa-utils,anaconda,anaconda,,,,,,,,,,,,,,,
abrt-cli,abrt,abrt-cli-ng,abrt,abrt-cli-ng,abrt,amanda,amanda,anaconda-core,anaconda,,,,,,,,,,,,,,,
abrt-cli-ng,abrt,abrt-console-notification,abrt,abrt-console-notification,abrt,anaconda,anaconda,anaconda-tui,anaconda,,,,,,,,,,,,,,,
