A分支-x86_64（二进制包名）,A分支-x86_64（二进制对应源码包名）,A分支-aarch64（二进制包名）,A分支-aarch64（二进制对应源码包名）,A分支-loongarch64（二进制包名）,A分支-loongarch64（二进制对应源码包名）,E分支-x86_64（二进制包名）,E分支-x86_64（二进制对应源码包名）,E分支-aarch64（二进制包名）,E分支-aarch64（二进制对应源码包名）,,,,,,,,,,,,,,,
libsgx-aesm-launch-plugin,linux-sgx,libtimezonemap,libtimezonemap,libvirt-daemon-driver-storage-core,libvirt,python3-prettytable,python-prettytable,python3-tevent,libtevent,,,,,,,,,,,,,,,
libsgx-enclave-common,linux-sgx,libtirpc,libtirpc,libvirt-daemon-driver-storage-disk,libvirt,python3-productmd,python-productmd,python3-unbound,unbound,,,,,,,,,,,,,,,
libsgx-launch,linux-sgx,libtirpc-devel,libtirpc,libvirt-daemon-driver-storage-gluster,libvirt,python3-protobuf,protobuf,python3-urllib3,python-urllib3,,,,,,,,,,,,,,,
libsgx-urts,linux-sgx,libtool,libtool,libvirt-daemon-driver-storage-iscsi,libvirt,python3-psutil,python-psutil,python3-urwid,python-urwid,,,,,,,,,,,,,,,
libshout,libshout,libtool-ltdl,libtool,libvirt-daemon-driver-storage-iscsi-direct,libvirt,python3-ptyprocess,python-ptyprocess,python3-werkzeug,python-werkzeug,,,,,,,,,,,,,,,
libsigc++20,libsigc++20,libtool-ltdl-devel,libtool,libvirt-daemon-driver-storage-logical,libvirt,python3-pwquality,libpwquality,python3-yubico,python-yubico,,,,,,,,,,,,,,,
libsigsegv,libsigsegv,libtpms,libtpms,libvirt-daemon-driver-storage-mpath,libvirt,python3-py,python-py,python39,python39,,,,,,,,,,,,,,,
libslirp,libslirp,libtpms-devel,libtpms,libvirt-daemon-driver-storage-rbd,libvirt,python3-pyOpenSSL,pyOpenSSL,python39-Cython,Cython,,,,,,,,,,,,,,,
libslirp-devel,libslirp,libtsan,gcc,libvirt-daemon-driver-storage-scsi,libvirt,python3-pyasn1,python-pyasn1,python39-PyMySQL,python-PyMySQL,,,,,,,,,,,,,,,
libsmartcols,util-linux,libubsan,gcc,libvirt-daemon-kvm,libvirt,python3-pyasn1-modules,python-pyasn1-modules,python39-attrs,python-attrs,,,,,,,,,,,,,,,
libsmartcols-devel,util-linux,libucil,libucil,libvirt-dbus,libvirt-dbus,python3-pycdlib,python-pycdlib,python39-cffi,python-cffi,,,,,,,,,,,,,,,
libsmbclient,samba,libudisks2,udisks2,libvirt-devel,libvirt,python3-pycparser,python-pycparser,python39-chardet,python-chardet,,,,,,,,,,,,,,,
libsmbios,libsmbios,libunicap,libunicap,libvirt-docs,libvirt,python3-pycryptodome,python-pycryptodome,python39-cryptography,python-cryptography,,,,,,,,,,,,,,,
libsmi,libsmi,libunistring,libunistring,libvirt-gconfig,libvirt-glib,python3-pydbus,python-pydbus,python39-debug,python39,,,,,,,,,,,,,,,
libsndfile,libsndfile,libunwind,libunwind,libvirt-glib,libvirt-glib,python3-pynacl,python-pynacl,python39-devel,python39,,,,,,,,,,,,,,,
libsolv,libsolv,libuosdevicec-libs,libuosdevicec,libvirt-gobject,libvirt-glib,python3-pyparsing,pyparsing,python39-idle,python39,,,,,,,,,,,,,,,
libsoup,libsoup,libuosdeviceh-libs,libuosdeviceh,libvirt-libs,libvirt,python3-pyparted,pyparted,python39-idna,python-idna,,,,,,,,,,,,,,,
libsoup-devel,libsoup,libuosdevicex-libs,libuosdevicex,libvirt-lock-sanlock,libvirt,python3-pyqt5-sip,sip,python39-iniconfig,python-iniconfig,,,,,,,,,,,,,,,
libspectre,libspectre,libusal,cdrkit,libvirt-nss,libvirt,python3-pyserial,pyserial,python39-libs,python39,,,,,,,,,,,,,,,
libsrtp,libsrtp,libusb,libusb,libvirt-wireshark,libvirt,python3-pysocks,python-pysocks,python39-lxml,python-lxml,,,,,,,,,,,,,,,
libss,e2fsprogs,libusbmuxd,libusbmuxd,libvisual,libvisual,python3-pytest,pytest,python39-mod_wsgi,mod_wsgi,,,,,,,,,,,,,,,
libssh,libssh,libusbx,libusbx,libvma,libvma,python3-pytz,pytz,python39-more-itertools,python-more-itertools,,,,,,,,,,,,,,,
libssh-config,libssh,libusbx-devel,libusbx,libvncserver,libvncserver,python3-pyudev,python-pyudev,python39-numpy,numpy,,,,,,,,,,,,,,,
libssh-devel,libssh,libusbx-devel-doc,libusbx,libvorbis,libvorbis,python3-pyusb,pyusb,python39-numpy-doc,numpy,,,,,,,,,,,,,,,
libsss_autofs,sssd,libuser,libuser,libvpx,libvpx,python3-pywbem,pywbem,python39-numpy-f2py,numpy,,,,,,,,,,,,,,,
libsss_certmap,sssd,libutempter,libutempter,libwacom,libwacom,python3-pyxdg,pyxdg,python39-packaging,python-packaging,,,,,,,,,,,,,,,
libsss_idmap,sssd,libuuid,util-linux,libwacom-data,libwacom,python3-pyyaml,pyyaml,python39-pip,python3x-pip,,,,,,,,,,,,,,,
libsss_nss_idmap,sssd,libuuid-devel,util-linux,libwayland-client,wayland,python3-qrcode,python-qrcode,python39-pip-wheel,python3x-pip,,,,,,,,,,,,,,,
libsss_simpleifp,sssd,libuv,libuv,libwayland-cursor,wayland,python3-qrcode-core,python-qrcode,python39-pluggy,python-pluggy,,,,,,,,,,,,,,,
libsss_sudo,sssd,libv4l,v4l-utils,libwayland-egl,wayland,python3-qt5,python-qt5,python39-ply,python-ply,,,,,,,,,,,,,,,
libstdc++,gcc,libva,libva,libwayland-server,wayland,python3-qt5-base,python-qt5,python39-psutil,python-psutil,,,,,,,,,,,,,,,
libstdc++-devel,gcc,libva-devel,libva,libwbclient,samba,python3-requests,python-requests,python39-psycopg2,python-psycopg2,,,,,,,,,,,,,,,
libstdc++-docs,gcc,libvdpau,libvdpau,libwebp,libwebp,python3-requests-file,python-requests-file,python39-psycopg2-doc,python-psycopg2,,,,,,,,,,,,,,,
libstemmer,libstemmer,libverto,libverto,libwebp-devel,libwebp,python3-requests-ftp,python-requests-ftp,python39-psycopg2-tests,python-psycopg2,,,,,,,,,,,,,,,
libstoragemgmt,libstoragemgmt,libverto-devel,libverto,libwebsockets,libwebsockets,python3-rpm,rpm,python39-py,python-py,,,,,,,,,,,,,,,
libstoragemgmt-arcconf-plugin,libstoragemgmt,libverto-libev,libverto,libwinpr,freerdp,python3-rpm-generators,python-rpm-generators,python39-pybind11,pybind11,,,,,,,,,,,,,,,
libstoragemgmt-hpsa-plugin,libstoragemgmt,libverto-libevent,libverto,libwinpr-devel,freerdp,python3-rtslib,python-rtslib,python39-pybind11-devel,pybind11,,,,,,,,,,,,,,,
libstoragemgmt-local-plugin,libstoragemgmt,libvirt,libvirt,libwmf,libwmf,python3-samba,samba,python39-pycparser,python-pycparser,,,,,,,,,,,,,,,
libstoragemgmt-megaraid-plugin,libstoragemgmt,libvirt-client,libvirt,libwmf-lite,libwmf,python3-scipy,scipy,python39-pyparsing,python3x-pyparsing,,,,,,,,,,,,,,,
libstoragemgmt-smis-plugin,libstoragemgmt,libvirt-daemon,libvirt,libwsman1,openwsman,python3-setools,setools,python39-pysocks,python-pysocks,,,,,,,,,,,,,,,
libstoragemgmt-udev,libstoragemgmt,libvirt-daemon-config-network,libvirt,libxcb,libxcb,python3-setuptools,python-setuptools,python39-pytest,pytest,,,,,,,,,,,,,,,
libsysfs,sysfsutils,libvirt-daemon-config-nwfilter,libvirt,libxcb-devel,libxcb,python3-setuptools-wheel,python2-setuptools,python39-pyyaml,PyYAML,,,,,,,,,,,,,,,
libtalloc,libtalloc,libvirt-daemon-driver-interface,libvirt,libxcrypt,libxcrypt,python3-simpleline,python-simpleline,python39-requests,python-requests,,,,,,,,,,,,,,,
libtalloc-devel,libtalloc,libvirt-daemon-driver-network,libvirt,libxcrypt-devel,libxcrypt,python3-six,python-six,python39-rpm-macros,python39,,,,,,,,,,,,,,,
libtar,libtar,libvirt-daemon-driver-nodedev,libvirt,libxdo,xdotool,python3-slip,python-slip,python39-scipy,scipy,,,,,,,,,,,,,,,
libtasn1,libtasn1,libvirt-daemon-driver-nwfilter,libvirt,libxkbcommon,libxkbcommon,python3-speechd,speech-dispatcher,python39-setuptools,python3x-setuptools,,,,,,,,,,,,,,,
libtasn1-devel,libtasn1,libvirt-daemon-driver-qemu,libvirt,libxkbcommon-devel,libxkbcommon,python3-sssd,sssd,python39-setuptools-wheel,python3x-setuptools,,,,,,,,,,,,,,,
libtasn1-tools,libtasn1,libvirt-daemon-driver-secret,libvirt,libxkbcommon-x11,libxkbcommon,python3-subscription-manager-rhsm,subscription-manager,python39-six,python3x-six,,,,,,,,,,,,,,,
libtdb,libtdb,libvirt-daemon-driver-storage,libvirt,libxkbfile,libxkbfile,python3-subversion,subversion,python39-test,python39,,,,,,,,,,,,,,,
libtdb-devel,libtdb,libvirt-daemon-driver-storage-core,libvirt,libxklavier,libxklavier,python3-systemd,python-systemd,python39-tkinter,python39,,,,,,,,,,,,,,,
libteam,libteam,libvirt-daemon-driver-storage-disk,libvirt,libxml2,libxml2,python3-talloc,libtalloc,python39-toml,python-toml,,,,,,,,,,,,,,,
libteam-doc,libteam,libvirt-daemon-driver-storage-gluster,libvirt,libxml2-devel,libxml2,python3-tdb,libtdb,python39-urllib3,python-urllib3,,,,,,,,,,,,,,,
libtevent,libtevent,libvirt-daemon-driver-storage-iscsi,libvirt,libxmlb,libxmlb,python3-tempita,python-tempita,python39-wcwidth,python-wcwidth,,,,,,,,,,,,,,,
libtevent-devel,libtevent,libvirt-daemon-driver-storage-iscsi-direct,libvirt,libxshmfence,libxshmfence,python3-tevent,libtevent,python39-wheel,python-wheel,,,,,,,,,,,,,,,
libthai,libthai,libvirt-daemon-driver-storage-logical,libvirt,libxshmfence-devel,libxshmfence,python3-unbound,unbound,python39-wheel-wheel,python-wheel,,,,,,,,,,,,,,,
libtheora,libtheora,libvirt-daemon-driver-storage-mpath,libvirt,libxslt,libxslt,python3-urllib3,python-urllib3,qdox,qdox,,,,,,,,,,,,,,,
libtiff,libtiff,libvirt-daemon-driver-storage-rbd,libvirt,libxslt-devel,libxslt,python3-urwid,python-urwid,qemu,qemu,,,,,,,,,,,,,,,
libtiff-devel,libtiff,libvirt-daemon-driver-storage-scsi,libvirt,libyaml,libyaml,python3-werkzeug,python-werkzeug,qemu-block-curl,qemu,,,,,,,,,,,,,,,
libtimezonemap,libtimezonemap,libvirt-daemon-kvm,libvirt,libyang,libyang,python3-yubico,python-yubico,qemu-block-iscsi,qemu,,,,,,,,,,,,,,,
libtirpc,libtirpc,libvirt-dbus,libvirt-dbus,libzen,libzen,python39,python39,qemu-guest-agent,qemu,,,,,,,,,,,,,,,
libtirpc-devel,libtirpc,libvirt-devel,libvirt,libzip,libzip,python39-Cython,Cython,qemu-help,qemu,,,,,,,,,,,,,,,
libtool,libtool,libvirt-docs,libvirt,libzip-devel,libzip,python39-PyMySQL,python-PyMySQL,qemu-img,qemu,,,,,,,,,,,,,,,
libtool-ltdl,libtool,libvirt-gconfig,libvirt-glib,libzip-tools,libzip,python39-attrs,python-attrs,qpdf,qpdf,,,,,,,,,,,,,,,
libtool-ltdl-devel,libtool,libvirt-glib,libvirt-glib,libzstd,zstd,python39-cffi,python-cffi,qperf,qperf,,,,,,,,,,,,,,,
libtpms,libtpms,libvirt-gobject,libvirt-glib,libzstd-devel,zstd,python39-chardet,python-chardet,qrencode,qrencode,,,,,,,,,,,,,,,
libtpms-devel,libtpms,libvirt-libs,libvirt,license-config,deepin-desktop-base,python39-cryptography,python-cryptography,qt,qt,,,,,,,,,,,,,,,
libtsan,gcc,libvirt-lock-sanlock,libvirt,lightdm,lightdm,python39-debug,python39,qt-at-spi,qt-at-spi,,,,,,,,,,,,,,,
libubsan,gcc,libvirt-nss,libvirt,lightdm-gobject,lightdm,python39-devel,python39,qt-settings,kde-settings,,,,,,,,,,,,,,,
libucil,libucil,libvirt-wireshark,libvirt,lightdm-qt5,lightdm,python39-idle,python39,qt5-linguist,qt5-qttools,,,,,,,,,,,,,,,
libudisks2,udisks2,libvisual,libvisual,linux-firmware,linux-firmware,python39-idna,python-idna,qt5-qtbase,qt5-qtbase,,,,,,,,,,,,,,,
libunicap,libunicap,libvma,libvma,linuxconsoletools,linuxconsoletools,python39-iniconfig,python-iniconfig,qt5-qtbase-common,qt5-qtbase,,,,,,,,,,,,,,,
libunistring,libunistring,libvncserver,libvncserver,lksctp-tools,lksctp-tools,python39-libs,python39,qt5-qtbase-devel,qt5-qtbase,,,,,,,,,,,,,,,
libunwind,libunwind,libvorbis,libvorbis,lksctp-tools-devel,lksctp-tools,python39-lxml,python-lxml,qt5-qtbase-gui,qt5-qtbase,,,,,,,,,,,,,,,
libuosdevicec-libs,libuosdevicec,libvpx,libvpx,lksctp-tools-doc,lksctp-tools,python39-mod_wsgi,mod_wsgi,qt5-qtconnectivity,qt5-qtconnectivity,,,,,,,,,,,,,,,
libuosdeviceh-libs,libuosdeviceh,libwacom,libwacom,lld,lld,python39-more-itertools,python-more-itertools,qt5-qtdeclarative,qt5-qtdeclarative,,,,,,,,,,,,,,,
libuosdevicex-libs,libuosdevicex,libwacom-data,libwacom,lld-devel,lld,python39-numpy,numpy,qt5-qtenginio,qt5-qtenginio,,,,,,,,,,,,,,,
libusal,cdrkit,libwayland-client,wayland,lld-libs,lld,python39-numpy-doc,numpy,qt5-qtgraphicaleffects,qt5-qtgraphicaleffects,,,,,,,,,,,,,,,
libusb,libusb,libwayland-cursor,wayland,lldpad,lldpad,python39-numpy-f2py,numpy,qt5-qtlocation,qt5-qtlocation,,,,,,,,,,,,,,,
libusbmuxd,libusbmuxd,libwayland-egl,wayland,llvm,llvm,python39-packaging,python-packaging,qt5-qtmultimedia,qt5-qtmultimedia,,,,,,,,,,,,,,,
libusbx,libusbx,libwayland-server,wayland,llvm-devel,llvm,python39-pip,python3x-pip,qt5-qtquickcontrols,qt5-qtquickcontrols,,,,,,,,,,,,,,,
libusbx-devel,libusbx,libwbclient,samba,llvm-doc,llvm,python39-pip-wheel,python3x-pip,qt5-qtquickcontrols2,qt5-qtquickcontrols2,,,,,,,,,,,,,,,
libusbx-devel-doc,libusbx,libwebp,libwebp,llvm-googletest,llvm,python39-pluggy,python-pluggy,qt5-qtscript,qt5-qtscript,,,,,,,,,,,,,,,
libuser,libuser,libwebp-devel,libwebp,llvm-libs,llvm,python39-ply,python-ply,qt5-qtsensors,qt5-qtsensors,,,,,,,,,,,,,,,
libutempter,libutempter,libwebsockets,libwebsockets,llvm-static,llvm,python39-psutil,python-psutil,qt5-qtserialport,qt5-qtserialport,,,,,,,,,,,,,,,
libuuid,util-linux,libwinpr,freerdp,llvm-test,llvm,python39-psycopg2,python-psycopg2,qt5-qtsvg,qt5-qtsvg,,,,,,,,,,,,,,,
libuuid-devel,util-linux,libwinpr-devel,freerdp,llvm-toolset,llvm-toolset,python39-psycopg2-doc,python-psycopg2,qt5-qtsvg-devel,qt5-qtsvg,,,,,,,,,,,,,,,
libuv,libuv,libwmf,libwmf,lm_sensors,lm_sensors,python39-psycopg2-tests,python-psycopg2,qt5-qttools,qt5-qttools,,,,,,,,,,,,,,,
libv4l,v4l-utils,libwmf-lite,libwmf,lm_sensors-devel,lm_sensors,python39-py,python-py,qt5-qttranslations,qt5-qttranslations,,,,,,,,,,,,,,,
libva,libva,libwsman1,openwsman,lm_sensors-libs,lm_sensors,python39-pybind11,pybind11,qt5-qtvirtualkeyboard,qt5-qtvirtualkeyboard,,,,,,,,,,,,,,,
libva-devel,libva,libxcb,libxcb,lm_sensors-sensord,lm_sensors,python39-pybind11-devel,pybind11,qt5-qtwebchannel,qt5-qtwebchannel,,,,,,,,,,,,,,,
libvdpau,libvdpau,libxcb-devel,libxcb,lmdb-libs,lmdb,python39-pycparser,python-pycparser,qt5-qtwebengine,qt5-qtwebengine,,,,,,,,,,,,,,,
libverto,libverto,libxcrypt,libxcrypt,lockdev,lockdev,python39-pyparsing,python3x-pyparsing,qt5-qtwebsockets,qt5-qtwebsockets,,,,,,,,,,,,,,,
libverto-devel,libverto,libxcrypt-devel,libxcrypt,log4cpp,log4cpp,python39-pysocks,python-pysocks,qt5-qtx11extras,qt5-qtx11extras,,,,,,,,,,,,,,,
libverto-libev,libverto,libxdo,xdotool,log4j-over-slf4j,slf4j,python39-pytest,pytest,qt5-qtxmlpatterns,qt5-qtxmlpatterns,,,,,,,,,,,,,,,
libverto-libevent,libverto,libxkbcommon,libxkbcommon,log4j12,log4j12,python39-pyyaml,PyYAML,qt5-rpm-macros,qt5,,,,,,,,,,,,,,,
libvirt,libvirt,libxkbcommon-devel,libxkbcommon,log4j12-javadoc,log4j12,python39-requests,python-requests,qt5-srpm-macros,qt5,,,,,,,,,,,,,,,
libvirt-client,libvirt,libxkbcommon-x11,libxkbcommon,logrotate,logrotate,python39-rpm-macros,python39,quota,quota,,,,,,,,,,,,,,,
libvirt-daemon,libvirt,libxkbfile,libxkbfile,lohit-telugu-fonts,lohit-telugu-fonts,python39-scipy,scipy,rabbitmq-server,rabbitmq-server,,,,,,,,,,,,,,,
libvirt-daemon-config-network,libvirt,libxklavier,libxklavier,lorax,lorax,python39-setuptools,python3x-setuptools,radvd,radvd,,,,,,,,,,,,,,,
libvirt-daemon-config-nwfilter,libvirt,libxml2,libxml2,lorax-composer,lorax,python39-setuptools-wheel,python3x-setuptools,rasdaemon,rasdaemon,,,,,,,,,,,,,,,
libvirt-daemon-driver-interface,libvirt,libxml2-devel,libxml2,lorax-lmc-novirt,lorax,python39-six,python3x-six,rdma-core,rdma-core,,,,,,,,,,,,,,,
libvirt-daemon-driver-network,libvirt,libxmlb,libxmlb,lorax-lmc-virt,lorax,python39-test,python39,rdma-core-help,rdma-core,,,,,,,,,,,,,,,
libvirt-daemon-driver-nodedev,libvirt,libxshmfence,libxshmfence,lorax-templates-generic,lorax,python39-tkinter,python39,re2,re2,,,,,,,,,,,,,,,
libvirt-daemon-driver-nwfilter,libvirt,libxshmfence-devel,libxshmfence,lorax-templates-rhel,lorax-templates-rhel,python39-toml,python-toml,readline,readline,,,,,,,,,,,,,,,
libvirt-daemon-driver-qemu,libvirt,libxslt,libxslt,lrzsz,lrzsz,python39-urllib3,python-urllib3,realmd,realmd,,,,,,,,,,,,,,,
libvirt-daemon-driver-secret,libvirt,libxslt-devel,libxslt,lshw,lshw,python39-wcwidth,python-wcwidth,recode,recode,,,,,,,,,,,,,,,
libvirt-daemon-driver-storage,libvirt,libyaml,libyaml,lshw-gui,lshw,python39-wheel,python-wheel,redis,redis,,,,,,,,,,,,,,,
libvirt-daemon-driver-storage-core,libvirt,libyang,libyang,lsof,lsof,python39-wheel-wheel,python-wheel,redis-devel,redis,,,,,,,,,,,,,,,
libvirt-daemon-driver-storage-disk,libvirt,libzen,libzen,lsscsi,lsscsi,qdox,qdox,redis-doc,redis,,,,,,,,,,,,,,,
libvirt-daemon-driver-storage-gluster,libvirt,libzip,libzip,lttng-ust,lttng-ust,qemu,qemu,reiserfs-utils,reiserfs-utils,,,,,,,,,,,,,,,
libvirt-daemon-driver-storage-iscsi,libvirt,libzip-devel,libzip,lua,lua,qemu-block-curl,qemu,relaxngDatatype,relaxngDatatype,,,,,,,,,,,,,,,
libvirt-daemon-driver-storage-iscsi-direct,libvirt,libzip-tools,libzip,lua-libs,lua,qemu-block-iscsi,qemu,rest,rest,,,,,,,,,,,,,,,
libvirt-daemon-driver-storage-logical,libvirt,libzstd,zstd,lucene++,lucene++,qemu-guest-agent,qemu,resteasy,resteasy,,,,,,,,,,,,,,,
libvirt-daemon-driver-storage-mpath,libvirt,libzstd-devel,zstd,lucene,lucene,qemu-help,qemu,rhash,rhash,,,,,,,,,,,,,,,
libvirt-daemon-driver-storage-rbd,libvirt,license-config,deepin-desktop-base,lucene-analysis,lucene,qemu-img,qemu,rls,rust,,,,,,,,,,,,,,,
libvirt-daemon-driver-storage-scsi,libvirt,lightdm,lightdm,lucene-analyzers-smartcn,lucene,qpdf,qpdf,rng-tools,rng-tools,,,,,,,,,,,,,,,
libvirt-daemon-kvm,libvirt,lightdm-gobject,lightdm,lucene-backward-codecs,lucene,qperf,qperf,rocketmq,rocketmq,,,,,,,,,,,,,,,
libvirt-dbus,libvirt-dbus,lightdm-qt5,lightdm,lucene-classification,lucene,qrencode,qrencode,rootfiles,rootfiles,,,,,,,,,,,,,,,
libvirt-devel,libvirt,linux-firmware,linux-firmware,lucene-codecs,lucene,qt,qt,rpcbind,rpcbind,,,,,,,,,,,,,,,
libvirt-docs,libvirt,linuxconsoletools,linuxconsoletools,lucene-grouping,lucene,qt-at-spi,qt-at-spi,rpm,rpm,,,,,,,,,,,,,,,
libvirt-gconfig,libvirt-glib,lksctp-tools,lksctp-tools,lucene-highlighter,lucene,qt-settings,kde-settings,rpm-build,rpm,,,,,,,,,,,,,,,
libvirt-glib,libvirt-glib,lksctp-tools-devel,lksctp-tools,lucene-javadoc,lucene,qt5-linguist,qt5-qttools,rpm-libs,rpm,,,,,,,,,,,,,,,
libvirt-gobject,libvirt-glib,lksctp-tools-doc,lksctp-tools,lucene-join,lucene,qt5-qtbase,qt5-qtbase,rpm-plugin-systemd-inhibit,rpm,,,,,,,,,,,,,,,
libvirt-libs,libvirt,lld,lld,lucene-memory,lucene,qt5-qtbase-common,qt5-qtbase,rpmdevtools,rpmdevtools,,,,,,,,,,,,,,,
libvirt-lock-sanlock,libvirt,lld-devel,lld,lucene-misc,lucene,qt5-qtbase-devel,qt5-qtbase,rpmlint,rpmlint,,,,,,,,,,,,,,,
libvirt-nss,libvirt,lld-libs,lld,lucene-monitor,lucene,qt5-qtbase-gui,qt5-qtbase,rrdtool,rrdtool,,,,,,,,,,,,,,,
libvirt-wireshark,libvirt,lldb,lldb,lucene-queries,lucene,qt5-qtconnectivity,qt5-qtconnectivity,rrdtool-perl,rrdtool,,,,,,,,,,,,,,,
libvisual,libvisual,lldb-devel,lldb,lucene-queryparser,lucene,qt5-qtdeclarative,qt5-qtdeclarative,rsync,rsync,,,,,,,,,,,,,,,
libvma,libvma,lldpad,lldpad,lucene-sandbox,lucene,qt5-qtenginio,qt5-qtenginio,rsync-bpc,rsync-bpc,,,,,,,,,,,,,,,
libvmaf,vmaf,llvm,llvm,lucene-suggest,lucene,qt5-qtgraphicaleffects,qt5-qtgraphicaleffects,rsyslog,rsyslog,,,,,,,,,,,,,,,
libvncserver,libvncserver,llvm-devel,llvm,luksmeta,luksmeta,qt5-qtlocation,qt5-qtlocation,rsyslog-help,rsyslog,,,,,,,,,,,,,,,
libvorbis,libvorbis,llvm-doc,llvm,lvm2,lvm2,qt5-qtmultimedia,qt5-qtmultimedia,rsyslog-pgsql,rsyslog,,,,,,,,,,,,,,,
libvpx,libvpx,llvm-googletest,llvm,lvm2-dbusd,lvm2,qt5-qtquickcontrols,qt5-qtquickcontrols,rsyslog-relp,rsyslog,,,,,,,,,,,,,,,
libwacom,libwacom,llvm-libs,llvm,lvm2-libs,lvm2,qt5-qtquickcontrols2,qt5-qtquickcontrols2,rtkit,rtkit,,,,,,,,,,,,,,,
libwacom-data,libwacom,llvm-static,llvm,lvm2-lockd,lvm2,qt5-qtscript,qt5-qtscript,ruby,ruby,,,,,,,,,,,,,,,
libwayland-client,wayland,llvm-test,llvm,lxc,lxc,qt5-qtsensors,qt5-qtsensors,ruby-default-gems,ruby,,,,,,,,,,,,,,,
libwayland-cursor,wayland,llvm-toolset,llvm-toolset,lxc-libs,lxc,qt5-qtserialport,qt5-qtserialport,ruby-devel,ruby,,,,,,,,,,,,,,,
libwayland-egl,wayland,lm_sensors,lm_sensors,lz4,lz4,qt5-qtsvg,qt5-qtsvg,ruby-doc,ruby,,,,,,,,,,,,,,,
libwayland-server,wayland,lm_sensors-devel,lm_sensors,lz4-devel,lz4,qt5-qtsvg-devel,qt5-qtsvg,ruby-help,ruby,,,,,,,,,,,,,,,
libwbclient,samba,lm_sensors-libs,lm_sensors,lz4-libs,lz4,qt5-qttools,qt5-qttools,ruby-irb,ruby,,,,,,,,,,,,,,,
libwebp,libwebp,lm_sensors-sensord,lm_sensors,lzo,lzo,qt5-qttranslations,qt5-qttranslations,ruby-libs,ruby,,,,,,,,,,,,,,,
libwebp-devel,libwebp,lmdb-libs,lmdb,lzo-devel,lzo,qt5-qtvirtualkeyboard,qt5-qtvirtualkeyboard,rubygem-abrt,rubygem-abrt,,,,,,,,,,,,,,,
libwebsockets,libwebsockets,lockdev,lockdev,lzo-minilzo,lzo,qt5-qtwebchannel,qt5-qtwebchannel,rubygem-abrt-doc,rubygem-abrt,,,,,,,,,,,,,,,
libwinpr,freerdp,log4cpp,log4cpp,lzop,lzop,qt5-qtwebengine,qt5-qtwebengine,rubygem-bigdecimal,ruby,,,,,,,,,,,,,,,
libwinpr-devel,freerdp,log4j-over-slf4j,slf4j,m17n-db,m17n-db,qt5-qtwebsockets,qt5-qtwebsockets,rubygem-bson,rubygem-bson,,,,,,,,,,,,,,,
libwmf,libwmf,log4j12,log4j12,m17n-lib,m17n-lib,qt5-qtx11extras,qt5-qtx11extras,rubygem-bson-doc,rubygem-bson,,,,,,,,,,,,,,,
libwmf-lite,libwmf,log4j12-javadoc,log4j12,m4,m4,qt5-qtxmlpatterns,qt5-qtxmlpatterns,rubygem-bundler,rubygem-bundler,,,,,,,,,,,,,,,
libwsman1,openwsman,logrotate,logrotate,mailcap,mailcap,qt5-rpm-macros,qt5,rubygem-bundler-doc,rubygem-bundler,,,,,,,,,,,,,,,
libx86emu,libx86emu,lohit-telugu-fonts,lohit-telugu-fonts,mailx,mailx,qt5-srpm-macros,qt5,rubygem-did_you_mean,ruby,,,,,,,,,,,,,,,
libxcb,libxcb,lorax,lorax,make,make,quota,quota,rubygem-io-console,ruby,,,,,,,,,,,,,,,
libxcb-devel,libxcb,lorax-composer,lorax,make-devel,make,rabbitmq-server,rabbitmq-server,rubygem-irb,ruby,,,,,,,,,,,,,,,
libxcrypt,libxcrypt,lorax-lmc-novirt,lorax,mallard-rng,mallard-rng,radvd,radvd,rubygem-json,ruby,,,,,,,,,,,,,,,
libxcrypt-devel,libxcrypt,lorax-lmc-virt,lorax,man-db,man-db,rasdaemon,rasdaemon,rubygem-minitest,ruby,,,,,,,,,,,,,,,
libxdo,xdotool,lorax-templates-generic,lorax,man-db-cron,man-db,rdma-core,rdma-core,rubygem-mongo,rubygem-mongo,,,,,,,,,,,,,,,
libxkbcommon,libxkbcommon,lorax-templates-rhel,lorax-templates-rhel,man-pages,man-pages,rdma-core-help,rdma-core,rubygem-mongo-doc,rubygem-mongo,,,,,,,,,,,,,,,
libxkbcommon-devel,libxkbcommon,lrzsz,lrzsz,mariadb-connector-c,mariadb-connector-c,re2,re2,rubygem-mysql2,rubygem-mysql2,,,,,,,,,,,,,,,
libxkbcommon-x11,libxkbcommon,lshw,lshw,mariadb-connector-c-config,mariadb-connector-c,readline,readline,rubygem-mysql2-doc,rubygem-mysql2,,,,,,,,,,,,,,,
libxkbfile,libxkbfile,lshw-gui,lshw,mariadb-connector-c-devel,mariadb-connector-c,realmd,realmd,rubygem-net-telnet,ruby,,,,,,,,,,,,,,,
libxklavier,libxklavier,lsof,lsof,matchbox-window-manager,matchbox-window-manager,rear,rear,rubygem-openssl,ruby,,,,,,,,,,,,,,,
libxml2,libxml2,lsscsi,lsscsi,maven,maven,recode,recode,rubygem-pg,rubygem-pg,,,,,,,,,,,,,,,
libxml2-devel,libxml2,ltrace,ltrace,maven-antrun-plugin,maven-antrun-plugin,redis,redis,rubygem-pg-doc,rubygem-pg,,,,,,,,,,,,,,,
libxmlb,libxmlb,lttng-ust,lttng-ust,maven-antrun-plugin-javadoc,maven-antrun-plugin,redis-devel,redis,rubygem-power_assert,ruby,,,,,,,,,,,,,,,
